ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
0,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)",2022-Sep-16 13:48:28,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
0,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)",2022-Sep-16 13:48:28,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
1,130263,pinn,127.0.0.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2022-Sep-16 13:48:28,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
1,130263,pinn,127.0.0.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2022-Sep-16 13:48:28,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
2,130263,pinn,127.0.0.1,ampere_sgemm_32x128_tn,2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
2,130263,pinn,127.0.0.1,ampere_sgemm_32x128_tn,2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
3,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
3,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
4,130263,pinn,127.0.0.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
4,130263,pinn,127.0.0.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
5,130263,pinn,127.0.0.1,ampere_sgemm_32x128_tn,2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
5,130263,pinn,127.0.0.1,ampere_sgemm_32x128_tn,2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
6,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
6,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
7,130263,pinn,127.0.0.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
7,130263,pinn,127.0.0.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
8,130263,pinn,127.0.0.1,ampere_sgemm_32x128_tn,2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
8,130263,pinn,127.0.0.1,ampere_sgemm_32x128_tn,2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_write.sum,sector,7
9,130263,pinn,127.0.0.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",2022-Sep-16 13:48:30,1,7,Command line profiler metrics,lts__t_sectors_aperture_sysmem_op_read.sum,sector,0
